@RELATION carevaluation

@ATTRIBUTE coste {alto,bajo,mediano,muy_alto}
@ATTRIBUTE tamano {alto,bajo,mediano,muy_alto}
@ATTRIBUTE puertas {1,2,3,4,mas}
@ATTRIBUTE capacidad {1,2,3,4,mas}
@ATTRIBUTE tam_maletero {grande,mediano,pequeno}
@ATTRIBUTE seguridad {alto,bajo,mediano}
@ATTRIBUTE evaluacion {aceptable,bueno,inaceptable,muy_bueno}

@DATA
muy_alto,muy_alto,2,2,pequeno,bajo,inaceptable
muy_alto,muy_alto,2,2,pequeno,mediano,inaceptable
muy_alto,muy_alto,2,2,pequeno,alto,inaceptable
muy_alto,muy_alto,2,2,mediano,bajo,inaceptable
muy_alto,muy_alto,2,2,mediano,mediano,inaceptable
muy_alto,muy_alto,2,2,mediano,alto,inaceptable
muy_alto,muy_alto,2,2,grande,bajo,inaceptable
muy_alto,muy_alto,2,2,grande,mediano,inaceptable
muy_alto,muy_alto,2,2,grande,alto,inaceptable
muy_alto,muy_alto,2,4,pequeno,bajo,inaceptable
muy_alto,muy_alto,2,4,pequeno,mediano,inaceptable
muy_alto,muy_alto,2,4,pequeno,alto,inaceptable
muy_alto,muy_alto,2,4,mediano,bajo,inaceptable
muy_alto,muy_alto,2,4,mediano,mediano,inaceptable
muy_alto,muy_alto,2,4,mediano,alto,inaceptable
muy_alto,muy_alto,2,4,grande,bajo,inaceptable
muy_alto,muy_alto,2,4,grande,mediano,inaceptable
muy_alto,muy_alto,2,4,grande,alto,inaceptable
muy_alto,muy_alto,2,mas,pequeno,bajo,inaceptable
muy_alto,muy_alto,2,mas,pequeno,mediano,inaceptable
muy_alto,muy_alto,2,mas,pequeno,alto,inaceptable
muy_alto,muy_alto,2,mas,mediano,bajo,inaceptable
muy_alto,muy_alto,2,mas,mediano,mediano,inaceptable
muy_alto,muy_alto,2,mas,mediano,alto,inaceptable
muy_alto,muy_alto,2,mas,grande,bajo,inaceptable
muy_alto,muy_alto,2,mas,grande,mediano,inaceptable
muy_alto,muy_alto,2,mas,grande,alto,inaceptable
muy_alto,muy_alto,3,2,pequeno,bajo,inaceptable
muy_alto,muy_alto,3,2,pequeno,mediano,inaceptable
muy_alto,muy_alto,3,2,pequeno,alto,inaceptable
muy_alto,muy_alto,3,2,mediano,bajo,inaceptable
muy_alto,muy_alto,3,2,mediano,mediano,inaceptable
muy_alto,muy_alto,3,2,mediano,alto,inaceptable
muy_alto,muy_alto,3,2,grande,bajo,inaceptable
muy_alto,muy_alto,3,2,grande,mediano,inaceptable
muy_alto,muy_alto,3,2,grande,alto,inaceptable
muy_alto,muy_alto,3,4,pequeno,bajo,inaceptable
muy_alto,muy_alto,3,4,pequeno,mediano,inaceptable
muy_alto,muy_alto,3,4,pequeno,alto,inaceptable
muy_alto,muy_alto,3,4,mediano,bajo,inaceptable
muy_alto,muy_alto,3,4,mediano,mediano,inaceptable
muy_alto,muy_alto,3,4,mediano,alto,inaceptable
muy_alto,muy_alto,3,4,grande,bajo,inaceptable
muy_alto,muy_alto,3,4,grande,mediano,inaceptable
muy_alto,muy_alto,3,4,grande,alto,inaceptable
muy_alto,muy_alto,3,mas,pequeno,bajo,inaceptable
muy_alto,muy_alto,3,mas,pequeno,mediano,inaceptable
muy_alto,muy_alto,3,mas,pequeno,alto,inaceptable
muy_alto,muy_alto,3,mas,mediano,bajo,inaceptable
muy_alto,muy_alto,3,mas,mediano,mediano,inaceptable
muy_alto,muy_alto,3,mas,mediano,alto,inaceptable
muy_alto,muy_alto,3,mas,grande,bajo,inaceptable
muy_alto,muy_alto,3,mas,grande,mediano,inaceptable
muy_alto,muy_alto,3,mas,grande,alto,inaceptable
muy_alto,muy_alto,4,2,pequeno,bajo,inaceptable
muy_alto,muy_alto,4,2,pequeno,mediano,inaceptable
muy_alto,muy_alto,4,2,pequeno,alto,inaceptable
muy_alto,muy_alto,4,2,mediano,bajo,inaceptable
muy_alto,muy_alto,4,2,mediano,mediano,inaceptable
muy_alto,muy_alto,4,2,mediano,alto,inaceptable
muy_alto,muy_alto,4,2,grande,bajo,inaceptable
muy_alto,muy_alto,4,2,grande,mediano,inaceptable
muy_alto,muy_alto,4,2,grande,alto,inaceptable
muy_alto,muy_alto,4,4,pequeno,bajo,inaceptable
muy_alto,muy_alto,4,4,pequeno,mediano,inaceptable
muy_alto,muy_alto,4,4,pequeno,alto,inaceptable
muy_alto,muy_alto,4,4,mediano,bajo,inaceptable
muy_alto,muy_alto,4,4,mediano,mediano,inaceptable
muy_alto,muy_alto,4,4,mediano,alto,inaceptable
muy_alto,muy_alto,4,4,grande,bajo,inaceptable
muy_alto,muy_alto,4,4,grande,mediano,inaceptable
muy_alto,muy_alto,4,4,grande,alto,inaceptable
muy_alto,muy_alto,4,mas,pequeno,bajo,inaceptable
muy_alto,muy_alto,4,mas,pequeno,mediano,inaceptable
muy_alto,muy_alto,4,mas,pequeno,alto,inaceptable
muy_alto,muy_alto,4,mas,mediano,bajo,inaceptable
muy_alto,muy_alto,4,mas,mediano,mediano,inaceptable
muy_alto,muy_alto,4,mas,mediano,alto,inaceptable
muy_alto,muy_alto,4,mas,grande,bajo,inaceptable
muy_alto,muy_alto,4,mas,grande,mediano,inaceptable
muy_alto,muy_alto,4,mas,grande,alto,inaceptable
muy_alto,muy_alto,mas,2,pequeno,bajo,inaceptable
muy_alto,muy_alto,mas,2,pequeno,mediano,inaceptable
muy_alto,muy_alto,mas,2,pequeno,alto,inaceptable
